epoch,train_loss,train_va,train_expr,ccc_v,ccc_a,ccc_mean,rmse_v,rmse_a,mae_v,mae_a,expr_acc
1,3.2578259358537287,1.099158086610164,2.1586678456436585,0.7076545357704163,0.2881099581718445,0.49788224697113037,0.5005916357040405,0.3439258635044098,0.3836221396923065,0.28307753801345825,0.6717967735954015
2,2.1551494616000615,1.0238257714434864,1.1313236942742968,0.7186351418495178,0.29721349477767944,0.5079243183135986,0.4886876344680786,0.33531004190444946,0.36662793159484863,0.27788206934928894,0.6940478397923234
3,1.9293824488914628,0.9897294515552093,0.9396529958262153,0.7318394184112549,0.3016663193702698,0.5167528688907623,0.4903344213962555,0.344820499420166,0.3606816828250885,0.28476402163505554,0.7098090116818098
4,1.843150366247491,0.9663180758930398,0.8768322864072675,0.7433024048805237,0.30730655789375305,0.5253044813871384,0.47138550877571106,0.34090638160705566,0.34665682911872864,0.28215503692626953,0.7133320971629891
5,1.7814840517474195,0.9460334875534906,0.8354505632234117,0.7501845359802246,0.313201904296875,0.5316932201385498,0.4710194170475006,0.3418770730495453,0.3452865779399872,0.282572865486145,0.7201928425737066
6,1.737006420127461,0.9316603777864154,0.8053460423131394,0.7530840039253235,0.31190791726112366,0.5324959605932236,0.4745350480079651,0.3568030297756195,0.3482860028743744,0.29273200035095215,0.7187094381605785
7,1.7114731958689726,0.9247968869254436,0.7866763084474181,0.7581101655960083,0.3151182234287262,0.5366141945123672,0.46018749475479126,0.340563029050827,0.33545905351638794,0.2829948663711548,0.724272204709809
8,1.6758797749553729,0.9115784110818551,0.7643013633277955,0.7586549520492554,0.3198906183242798,0.5392727851867676,0.46632248163223267,0.3404202461242676,0.33858904242515564,0.28267166018486023,0.7277952901909883
9,1.6498076651189737,0.9012357649170372,0.7485719022421933,0.7635119557380676,0.320566326379776,0.5420391410589218,0.45679736137390137,0.3414818346500397,0.33176353573799133,0.28348690271377563,0.7289078435008344
10,1.6107505436203566,0.8853768995058361,0.7253736449579093,0.7655616402626038,0.3209960162639618,0.5432788282632828,0.45556777715682983,0.34029582142829895,0.32900163531303406,0.28286442160606384,0.7333580567402188
11,1.5792498003895112,0.873629192804773,0.7056206054731654,0.7616506814956665,0.32054752111434937,0.5410991013050079,0.4604400396347046,0.34124937653541565,0.3262670338153839,0.28384724259376526,0.7326163545336547
12,1.5674431701297598,0.8650482870510079,0.7023948802509188,0.7679520845413208,0.32335230708122253,0.5456521958112717,0.45069384574890137,0.33852601051330566,0.3288401663303375,0.28165075182914734,0.7340997589467829
13,1.536270522217978,0.8536799069231806,0.682590615449832,0.7676284313201904,0.32286688685417175,0.5452476590871811,0.4519250988960266,0.34905317425727844,0.33023887872695923,0.2889226973056793,0.7344706100500649
14,1.5122379935792996,0.8448430205125724,0.6673949717272273,0.7699155807495117,0.3228098452091217,0.5463627129793167,0.4519721269607544,0.343336284160614,0.33105093240737915,0.28593870997428894,0.735583163359911
15,1.4832098547913608,0.8331522928752482,0.650057559630901,0.7692832350730896,0.3208997845649719,0.5450915098190308,0.44980326294898987,0.33803337812423706,0.32578933238983154,0.2823604345321655,0.7333580567402188
16,1.4530761452077896,0.8218732423336593,0.6312029044260277,0.7706649303436279,0.32336559891700745,0.5470152646303177,0.448954313993454,0.3355795443058014,0.3217715919017792,0.2808428704738617,0.7335434822918598
17,1.4232629330425017,0.8086031378571302,0.6146597975170935,0.7694088816642761,0.3232051432132721,0.5463070124387741,0.4466037452220917,0.3431795537471771,0.3129211664199829,0.2862575352191925,0.7331726311885778
18,1.4071385697594656,0.8060253944021416,0.6011131762999349,0.7701637148857117,0.3183915317058563,0.544277623295784,0.4478864371776581,0.3398130536079407,0.3212222456932068,0.2840653955936432,0.7328017800852957
19,1.3789124935206505,0.7920390896176297,0.5868734027898715,0.7691925764083862,0.31593984365463257,0.5425662100315094,0.44656357169151306,0.3402012288570404,0.32042327523231506,0.283843457698822,0.7311329501205266
20,1.358291120972698,0.7800892864585587,0.5782018336428444,0.7699881196022034,0.3204822242259979,0.5452351719141006,0.44795021414756775,0.3477722704410553,0.3246546685695648,0.28913745284080505,0.7329872056369368
21,1.3180026093599904,0.7607172974710167,0.5572853121897411,0.7650724053382874,0.3123418092727661,0.5387071073055267,0.44888097047805786,0.3381669223308563,0.32003527879714966,0.28321778774261475,0.7279807157426293
22,1.3016874043451465,0.7541276628806267,0.5475597437148485,0.7631655335426331,0.3085930645465851,0.5358792990446091,0.4521743357181549,0.33398547768592834,0.31898337602615356,0.28015074133872986,0.7337289078435009
23,1.2679145427187506,0.7393919860405697,0.5285225579215592,0.7655337452888489,0.314344197511673,0.5399389714002609,0.44870781898498535,0.34579792618751526,0.3155595362186432,0.2887752950191498,0.7298349712590395
