epoch,train_loss,train_va,train_expr,ccc_v,ccc_a,ccc_mean,rmse_v,rmse_a,mae_v,mae_a,expr_acc
1,3.68785514438623,1.717429076081749,1.9704260657805157,0.47533851861953735,0.03517113998532295,0.25525482930243015,0.8231885433197021,0.645988404750824,0.6274158954620361,0.5245063900947571,0.35564620804746894
2,3.1393352340710545,1.4123174455779428,1.7270177889334104,0.5688058137893677,0.05431896075606346,0.31156238727271557,0.6206057071685791,0.618422269821167,0.45947355031967163,0.47909462451934814,0.4355646208047469
3,2.9159671579496003,1.3310392224031475,1.5849279389634177,0.5790694952011108,0.0761079266667366,0.3275887109339237,0.6702187657356262,0.5137773156166077,0.48816558718681335,0.41666972637176514,0.4618950491377712
4,2.7604030570459,1.2603898914362757,1.5000131636251801,0.47503238916397095,0.10231935977935791,0.28867587447166443,0.7711448669433594,0.4449079632759094,0.6235993504524231,0.3564656972885132,0.4930465418134619
5,2.6360026861473678,1.2114844394202708,1.4245182516882076,0.6100220680236816,0.12869901955127716,0.3693605437874794,0.563286542892456,0.4188566207885742,0.40322235226631165,0.33492740988731384,0.48766920081587245
6,2.511904549103823,1.1620786070842273,1.3498259471357412,0.6203867197036743,0.12691475450992584,0.3736507371068001,0.5971211194992065,0.43057557940483093,0.4666324853897095,0.34453704953193665,0.5319859076580753
7,2.4054164748617746,1.1128990240885366,1.2925174518646823,0.6375916600227356,0.10225435346364975,0.3699230067431927,0.6106034517288208,0.5730527639389038,0.4573363661766052,0.4603399932384491,0.5290190988318191
8,2.301172966826367,1.0737488095050782,1.22742415339581,0.6373072266578674,0.15000978112220764,0.39365850389003754,0.5568918585777283,0.41386789083480835,0.4295892119407654,0.33467337489128113,0.5599851659558687
9,2.205120313913599,1.0377384887515324,1.1673818233326572,0.6488511562347412,0.17429496347904205,0.41157305985689163,0.5998035669326782,0.4398367702960968,0.46738365292549133,0.35151171684265137,0.5696272946412015
10,2.087694385734748,0.9821194434137428,1.1055749418807068,0.6693655252456665,0.1767728179693222,0.42306917160749435,0.5279058218002319,0.38366207480430603,0.39235222339630127,0.3129265606403351,0.5839050621175598
11,2.017329394070085,0.954605314620345,1.0627240756079799,0.6265539526939392,0.1874879151582718,0.4070209339261055,0.5570376515388489,0.3985626697540283,0.40651801228523254,0.32059338688850403,0.5874281475987391
12,1.9368796911657846,0.9217019448361945,1.0151777473776247,0.6713920831680298,0.16912858188152313,0.42026033252477646,0.5408854484558105,0.4175848364830017,0.40490633249282837,0.33893293142318726,0.6106063415538662
13,1.8472758105597065,0.881413720465597,0.9658620913343872,0.6689867973327637,0.16661138832569122,0.41779909282922745,0.5601450800895691,0.3778112232685089,0.40463846921920776,0.308651328086853,0.6068978305210458
14,1.7607998654478108,0.8435318634244993,0.9172680021008288,0.6745928525924683,0.11491446942090988,0.39475366100668907,0.5457024574279785,0.4700127840042114,0.4026159644126892,0.38158518075942993,0.6018913406267383
15,1.6881628824447437,0.8106496717569788,0.8775132130908029,0.6768295764923096,0.15351365506649017,0.41517161577939987,0.5225353240966797,0.4073401689529419,0.3784821927547455,0.3280530273914337,0.6111626182087891
16,1.6204831581647057,0.7825327363047957,0.8379504240427988,0.6568401455879211,0.16600437462329865,0.4114222601056099,0.5232962965965271,0.3708566427230835,0.4019029140472412,0.301198810338974,0.6007787873168923
17,1.5388022032760404,0.7429584040513044,0.7958438012587914,0.6671518683433533,0.16787879168987274,0.417515330016613,0.5470717549324036,0.4132348895072937,0.4104711413383484,0.33202651143074036,0.6132022992768403
18,1.4829360244921936,0.7199365048275055,0.7629995198135215,0.6491715312004089,0.17622941732406616,0.41270047426223755,0.5730448961257935,0.4048033356666565,0.4164530336856842,0.327399879693985,0.6035601705915075
19,1.4069745705451802,0.6858580847166769,0.7211164856796699,0.6513051390647888,0.13903753459453583,0.3951713368296623,0.5603148937225342,0.3879280388355255,0.43975961208343506,0.3136154115200043,0.5833487854626368
20,1.3525208796632777,0.6582056487356346,0.6943152292408655,0.6765830516815186,0.15020751953125,0.4133952856063843,0.5395008325576782,0.3973822593688965,0.40280666947364807,0.3194065988063812,0.620619321342481
21,1.2769495621560014,0.6270280865025943,0.6499214755789904,0.6067330241203308,0.14198331534862518,0.374358169734478,0.5591423511505127,0.4417158365249634,0.43645355105400085,0.3546851873397827,0.5690710179862785
22,1.2275543269819371,0.6015122404289761,0.6260420875451831,0.6605425477027893,0.15233619511127472,0.406439371407032,0.5564618706703186,0.4067264795303345,0.408527672290802,0.3278038203716278,0.6297051733728908
23,1.1502958152096086,0.5725861729937066,0.5777096431802179,0.6549145579338074,0.16206352412700653,0.40848904103040695,0.5423017740249634,0.4024342894554138,0.39936110377311707,0.3257606625556946,0.6109771926571481
